feature,cv,best_iter
TransactionAmt,0.5443805413096593,798.0
ProductCD,0.5296539720455,132.0
card1,0.5472450426966198,611.0
card2,0.5492399233666052,695.0
card3,0.5169209558819658,546.0
card4,0.5098686535244886,40.0
card5,0.5347690751050467,535.0
card6,0.5071986053560886,115.0
addr1,0.5276380143001838,620.0
addr2,0.5160434641962516,395.0
dist1,0.5195150033290176,380.0
dist2,0.5158533267655718,800.0
P_emaildomain,0.5264799217144837,240.0
R_emaildomain,0.5306189306248748,94.0
C1,0.5205719377917991,492.0
C2,0.519050602322842,235.0
C3,0.5127945751602858,241.0
C4,0.5293052911116387,800.0
C5,0.5246675002738429,216.0
C6,0.5129043020123801,800.0
C7,0.5174124206437872,607.0
C8,Running,
C9,0.5236039619358389,211.0
C10,0.5348933452915151,593.0
C11,0.5280269438076494,284.0
C12,0.5585882040849401,800.0
C13,0.5225417071131759,157.0
C14,0.5199934534879521,235.0
D1,0.5390992050595097,122.0
D2,0.5335934923113508,107.0
D3,0.5272022640616991,89.0
D4,0.6390552729299095,122.0
D5,0.5487924723986003,100.0
D6,0.5819871201782238,103.0
D7,0.5329201649992996,105.0
D8,0.5201368388513924,314.0
D9,0.5159102844055589,217.0
D10,0.6451226771040716,125.0
D11,0.5838355498986102,155.0
D12,0.5208628577656158,119.0
D13,0.588652366308899,185.0
D14,Running,
D15,0.6737732612661221,111.0
M1,0.5454631522599014,70.0
M2,0.5496593980439575,66.0
M3,Running,
M4,0.5217530124888988,192.0
M5,0.5162576504112302,122.0
M6,0.5285669092121866,178.0
M7,0.5527679213833608,86.0
M8,0.5536283283518924,93.0
M9,0.5550823372211967,86.0
V1,0.5525319203767414,80.0
V2,0.5528733421394172,74.0
V3,0.5531889354114519,70.0
V4,0.5548045556677316,81.0
V5,0.5532884654844746,94.0
V6,0.5527299826682353,78.0
V7,0.5530486442835909,82.0
V8,0.5535134883427352,72.0
V9,0.5528479851506443,73.0
V10,0.5539531831569136,79.0
V11,0.5538830753389496,78.0
V12,0.5627904107761121,118.0
V13,0.5680158556100904,123.0
V14,0.5581490958131285,125.0
V15,0.5690694565093587,132.0
V16,0.569143157730385,194.0
V17,0.6249444246506851,159.0
V18,0.624969470807032,194.0
V19,0.581467214836367,112.0
V20,0.5801282281765912,178.0
V21,0.6224338724721691,130.0
V22,0.6224603106945812,129.0
V23,0.5612230298566906,122.0
V24,0.560371379697563,344.0
V25,0.5700855318981016,135.0
V26,Running,
V27,0.5693567926863162,120.0
V28,0.5693634059567774,117.0
V29,0.5851403104246534,147.0
V30,Running,
V31,0.6195693256045671,193.0
V32,0.619598769244342,200.0
V33,0.5714288858879784,132.0
V34,0.5739670577871621,194.0
V35,0.5802099942282706,132.0
V36,0.5832802451335884,97.0
V37,0.5760643777894171,95.0
V38,0.5771074725100764,95.0
V39,0.6217852961643539,139.0
V40,0.6219852150055504,107.0
V41,Running,
V42,0.6199990214472539,126.0
V43,0.6203132337152918,601.0
V44,0.5759184076074216,502.0
V45,0.5762497719363261,261.0
V46,0.5750682793056753,97.0
V47,0.5749995212146287,101.0
V48,0.5957275565016318,147.0
V49,0.5958829761046762,799.0
V50,0.6160918407792068,131.0
V51,0.5807394870873989,129.0
V52,0.5827690065484624,96.0
V53,0.5604325552754198,360.0
V54,0.5636959944927122,170.0
V55,0.5634977299445814,155.0
V56,0.5657582457578841,133.0
V57,0.5689941704653068,158.0
V58,0.5688022534828527,132.0
V59,Running,
V60,0.6273645671621532,158.0
V61,0.5825038923061672,129.0
V62,0.5803419549334867,131.0
V63,0.6249934495928341,166.0
V64,0.6253009474359831,273.0
V65,0.5590606205205261,153.0
V66,0.5740820375510162,381.0
V67,0.5732017495013979,171.0
V68,0.5707738419233683,206.0
V69,0.5860786643910626,153.0
V70,0.58659498750263,265.0
V71,Running,
V72,0.6215770121017852,378.0
V73,0.5708639375726325,364.0
V74,0.5752082912061249,203.0
V75,0.5797724201458739,800.0
V76,0.5844546190265975,141.0
V77,0.5743206125668621,456.0
V78,0.5756830131743694,797.0
V79,0.5777415289235729,129.0
V80,0.6339144723783402,277.0
V81,0.6341281349873538,276.0
V82,0.5809890948643005,169.0
V83,0.580273684617831,128.0
V84,0.6316551264957451,169.0
V85,0.6320959812187648,281.0
V86,0.5721719956958455,136.0
V87,0.5716128936815786,446.0
V88,0.569651080932557,163.0
V89,0.5805797244172797,127.0
V90,0.6004242598177677,159.0
V91,0.600583523094818,156.0
V92,0.6271514839686602,451.0
V93,0.6271930873594878,312.0
V94,0.5793515852852761,194.0
V95,0.5029579687885217,218.0
V96,0.5084591275467072,161.0
V97,0.5055396642622828,138.0
V98,0.5023325957039714,800.0
V99,0.5117431306082317,99.0
V100,0.5062421917734082,382.0
V101,0.5051119218041726,471.0
V102,0.5099369237712155,115.0
V103,0.5069840062498233,318.0
V104,0.5069199958811608,261.0
V105,0.5109964459830812,508.0
V106,0.5079587523952879,513.0
V107,0.5004798997222728,195.0
V108,0.501086019136765,126.0
V109,0.5025172350109229,106.0
V110,0.5012897217421773,127.0
V111,0.5009047975598767,134.0
V112,0.5012036679880729,251.0
V113,0.5009197128688342,134.0
V114,0.5017202669286404,181.0
V115,0.5039984636202286,213.0
V116,0.5022180573199898,349.0
V117,0.5005216695516953,256.0
V118,0.5006778306141063,193.0
V119,0.5006298450781947,219.0
V120,0.5007332088033568,385.0
V121,0.5011328719093492,531.0
V122,0.5008082726723645,568.0
V123,0.5023170185006605,800.0
V124,0.5053276831774881,323.0
V125,0.5023582744096942,349.0
V126,0.5071705312885315,274.0
V127,Running,
V128,0.5096659224615289,273.0
V129,0.50439701502803,800.0
V130,0.5147960433400659,352.0
V131,0.5092350272491631,286.0
V132,0.5070791467328388,148.0
V133,0.5117782413920366,292.0
V134,0.5086912235261984,216.0
V135,0.5072615144076927,504.0
V136,0.5119542031245733,504.0
V137,0.5083736317168807,338.0
V138,0.513203874564431,94.0
V139,0.5137739360577273,147.0
V140,0.5137125739035487,82.0
V141,0.5131413305067772,68.0
V142,0.5132735651840868,800.0
V143,0.5203411442121204,347.0
V144,0.5164500265468086,208.0
V145,0.5243118311915616,800.0
